x1,y1,z1,x2,y2,z2,x3,y3,z3
-71.1706,42.2994,-8148.631469,-71.1678,42.2882,12.80550273,-71.1678,42.3582,7
-71.1706,42.347,-10063.2146,-71.1678,42.291,12.81931837,-71.165,42.263,31
-71.1706,42.3498,-10191.45128,-71.1678,42.2938,13.0447115,-71.165,42.2658,24
-71.1706,42.3526,-9945.714409,-71.1678,42.2966,15.30724543,-71.165,42.2686,32
-71.1706,42.3554,-9582.687888,-71.1678,42.3358,20.07497634,-71.165,42.2714,29
-71.1678,42.263,-7678.425692,-71.1678,42.3386,14.07971229,-71.165,42.2742,20
-71.1678,42.2658,-9019.648264,-71.1678,42.3442,13.48820947,-71.165,42.277,44
-71.1678,42.2686,-8184.037486,-71.1678,42.347,13.16933587,-71.165,42.2798,14
-71.1678,42.2714,-8243.881968,-71.1678,42.3498,13.60824981,-71.165,42.2826,32
-71.1678,42.2742,-8599.647825,-71.1678,42.3526,13.57968502,-71.165,42.2854,26
-71.1678,42.277,-8349.468427,-71.1678,42.3554,13.47691841,-71.165,42.2882,30
-71.1678,42.2798,-8198.526427,-71.1678,42.3582,14.93741611,-71.165,42.291,19
-71.1678,42.2826,-8157.501878,-71.165,42.263,12.73751216,-71.165,42.2938,26
-71.1678,42.2854,-8163.216951,-71.165,42.2658,12.63386291,-71.165,42.3022,34
-71.1678,42.2882,-8191.689802,-71.165,42.2686,12.58365109,-71.165,42.3358,3
-71.1678,42.291,-8232.356862,-71.165,42.2714,12.79497797,-71.165,42.3386,32
-71.1678,42.2938,-8280.73879,-71.165,42.2742,12.59970526,-71.165,42.3414,46
-71.1678,42.2966,-8334.040714,-71.165,42.277,13.57298042,-71.165,42.3442,19
-71.1678,42.2994,-8391.25897,-71.165,42.2798,13.1915069,-71.165,42.347,12
-71.1678,42.3358,-12861.41894,-71.165,42.2826,13.03849034,-71.165,42.3498,169
-71.1678,42.3386,-11939.25686,-71.165,42.2854,12.91140747,-71.165,42.3526,109
-71.1678,42.3442,-10643.35506,-71.165,42.2882,12.92425372,-71.165,42.3554,41
-71.1678,42.347,-10718.98415,-71.165,42.291,12.91771185,-71.165,42.3582,1
-71.1678,42.3498,-12069.31296,-71.165,42.2938,12.78778505,-71.1622,42.2602,40
-71.1678,42.3526,-10762.92478,-71.165,42.2966,13.03277679,-71.1622,42.263,28
-71.1678,42.3554,-10065.95044,-71.165,42.2994,12.05931126,-71.1622,42.2658,16
-71.1678,42.3582,-9737.994199,-71.165,42.3358,13.4245399,-71.1622,42.2686,53
-71.165,42.263,-7654.349879,-71.165,42.3386,14.92018775,-71.1622,42.2714,48
-71.165,42.2658,-7920.159653,-71.165,42.3414,14.65449848,-71.1622,42.2742,15
-71.165,42.2686,-8025.171719,-71.165,42.3442,13.53294029,-71.1622,42.277,145
-71.165,42.2714,-8123.663764,-71.165,42.347,14.40040415,-71.1622,42.2798,34
-71.165,42.2742,-8282.55311,-71.165,42.3498,13.3144055,-71.1622,42.2826,22
-71.165,42.277,-8498.239839,-71.165,42.3526,13.87840803,-71.1622,42.2854,26
-71.165,42.2798,-8434.761488,-71.165,42.3554,13.1174828,-71.1622,42.2882,13
-71.165,42.2826,-8418.733378,-71.165,42.3582,13.57475448,-71.1622,42.291,20
-71.165,42.2854,-8440.849542,-71.1622,42.2602,12.68653739,-71.1622,42.2938,30
-71.165,42.2882,-8471.219954,-71.1622,42.263,12.05891102,-71.1622,42.3386,11
-71.165,42.291,-8509.218405,-71.1622,42.2658,11.78593149,-71.1622,42.3414,31
-71.165,42.2938,-8555.407007,-71.1622,42.2686,12.50579817,-71.1622,42.3442,4
-71.165,42.2966,-8604.791715,-71.1622,42.2714,12.76575711,-71.1622,42.347,72
-71.165,42.2994,-8653.503595,-71.1622,42.2742,12.77092593,-71.1622,42.3498,146
-71.165,42.3022,-8707.086908,-71.1622,42.277,12.94039902,-71.1622,42.3526,119
-71.165,42.3358,-13919.47675,-71.1622,42.2798,13.48790214,-71.1622,42.3554,106
-71.165,42.3386,-12337.55161,-71.1622,42.2826,13.06383816,-71.1594,42.2574,113
-71.165,42.3414,-11459.0279,-71.1622,42.2854,13.00492502,-71.1594,42.2602,81
-71.165,42.3442,-11165.65184,-71.1622,42.2882,13.28831789,-71.1594,42.263,22
-71.165,42.347,-11265.61569,-71.1622,42.291,13.038752,-71.1594,42.2658,27
-71.165,42.3498,-11858.55564,-71.1622,42.2938,12.85360538,-71.1594,42.2714,5
-71.165,42.3526,-11026.58253,-71.1622,42.2966,14.26519668,-71.1594,42.2742,28
-71.165,42.3554,-10503.12643,-71.1622,42.2994,14.25492611,-71.1594,42.277,25
-71.165,42.3582,-10162.5984,-71.1622,42.3386,15.18139301,-71.1594,42.2798,125
-71.1622,42.2602,-7685.971421,-71.1622,42.3414,14.83131561,-71.1594,42.2826,26
-71.1622,42.263,-7783.832296,-71.1622,42.3442,15.06742317,-71.1594,42.2854,23
-71.1622,42.2658,-7887.348307,-71.1622,42.347,13.44066268,-71.1594,42.2882,13
-71.1622,42.2686,-8001.531584,-71.1622,42.3498,13.58350708,-71.1594,42.291,7
-71.1622,42.2714,-8139.533315,-71.1622,42.3526,13.39165742,-71.1594,42.2938,30
-71.1622,42.2742,-8317.516076,-71.1622,42.3554,13.30989092,-71.1594,42.2994,19
-71.1622,42.277,-8557.530332,-71.1594,42.2574,13.00272708,-71.1594,42.333,10
-71.1622,42.2798,-8708.467907,-71.1594,42.2602,12.26801329,-71.1594,42.3386,65
-71.1622,42.2826,-8767.466485,-71.1594,42.263,11.20559438,-71.1594,42.3414,142
-71.1622,42.2854,-8787.856975,-71.1594,42.2658,11.54388849,-71.1594,42.3442,20
